68.6476 0.105825 20.5816 0.235138 150.32 0.121111 26.9036 0.173937 310.11 0.0843176 13.2017 0.0949476 120.932 0.184664 28.5931 0.399549 284.724 0.147983 22.3222 0.154365 66512628
68.3428 0.104459 20.6029 0.237554 150.098 0.113891 26.4317 0.165161 309.095 0.0797846 12.8362 0.0885295 121.38 0.197787 29.4953 0.438067 284.228 0.145968 22.0926 0.151551 66515151
68.1673 0.106101 20.7432 0.242695 149.608 0.121195 27.1073 0.175964 308.787 0.0814463 13.0377 0.0918549 120.841 0.189947 29.0321 0.418859 283.609 0.148935 22.2452 0.154771 66517611
68.2072 0.105743 20.7063 0.241439 149.888 0.120768 27.2145 0.179645 308.636 0.0814618 13.0539 0.0928042 120.904 0.183219 28.4743 0.395347 283.631 0.150229 22.3031 0.153789 66520096
68.1291 0.106456 20.7746 0.243443 149.746 0.116864 27.0971 0.175783 308.81 0.0796426 12.8905 0.089037 121.103 0.183963 28.486 0.393953 284.049 0.147037 22.1747 0.151055 66522593
68.1651 0.106872 20.8202 0.245367 150.139 0.118864 26.5566 0.168428 309.034 0.0815583 13.0349 0.0913265 121.009 0.183031 28.4767 0.397593 284.145 0.145744 22.1254 0.149983 66525105
68.369 0.102112 20.0825 0.219693 149.964 0.118119 26.8525 0.173276 308.995 0.0831752 13.2182 0.0951358 121.231 0.193405 29.2376 0.426877 284.04 0.141921 21.7369 0.144338 66527612
68.2745 0.105168 20.3588 0.228946 149.888 0.122428 27.3915 0.182177 309.188 0.080403 12.9393 0.0893062 120.748 0.180321 28.3339 0.388228 284.128 0.145903 22.1263 0.150368 66530105
68.2697 0.106287 20.4319 0.231499 149.808 0.120859 27.1048 0.177999 309.298 0.081502 13.0234 0.0919112 121.246 0.180883 28.2047 0.38203 284.191 0.149659 22.284 0.153069 66532539
68.343 0.106294 20.5016 0.23315 149.981 0.118031 26.9 0.173208 309.387 0.0808421 13.0125 0.0910996 121.032 0.190327 29.0062 0.418136 284.451 0.144599 22.0363 0.148599 66535046
68.3301 0.103795 20.5357 0.234595 149.897 0.119372 27.0362 0.175388 309.449 0.081403 13.0239 0.0912804 121.106 0.177235 27.9354 0.372709 284.862 0.140795 21.8249 0.144956 66537594
68.4054 0.106744 20.565 0.235656 150.188 0.120334 26.7877 0.172603 309.44 0.0826516 13.0721 0.0932925 120.901 0.186438 28.7461 0.407489 284.421 0.145228 21.9993 0.149554 66540071
68.3279 0.10567 20.7221 0.242215 149.948 0.117991 26.8825 0.173017 309.369 0.0806887 12.9079 0.0894863 121.016 0.180563 28.2638 0.384554 284.476 0.145147 22.127 0.150359 66542603
68.0498 0.110708 21.2105 0.258186 149.796 0.120764 27.1205 0.177468 309.392 0.0823001 13.1343 0.0931532 121.119 0.18823 28.8176 0.41049 284.729 0.148607 22.4107 0.152929 66545095
